정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
당미마을,41552,4567,6531,4567,6531,0,358
당미마을,41553,4494,3598,4494,3598,0,261
당산리,43450,7,145,7,145,0,4
당산리,43700,177,8,171,8,6,5
당산리검문소,43699,146,13,143,13,3,5
당산리검문소,43752,9,138,9,138,0,4
당산종점,43669,2,41,2,41,0,1
당산종점,43725,43,3,39,3,4,1
당산초등학교,41418,5195,2775,5195,2775,0,257
당산초등학교,41419,1541,2445,1541,2445,0,128
당산초등학교아래사거리,41644,3,124,3,124,0,4
당산초등학교아래사거리,41645,397,192,397,192,0,19
당하대주파크빌,42392,2426,1975,2424,1975,2,141
당하동탑스빌아파트,42639,4162,3327,4162,3327,0,241
당하동행정복지센터,42886,11727,6261,11727,6261,0,580
당하메디칼,42402,1767,2284,1762,2284,5,130
당하초등학교,42396,1414,979,1412,979,2,77
당하초등학교,42399,1265,1391,1264,1391,1,85
당하탑스빌아파트,42393,2757,2743,2757,2743,0,177
당하푸르지오,42403,1168,833,1167,833,1,64
당하푸르지오,42502,809,4600,809,4600,0,174
당하풍림아파트,42405,1768,11576,1768,11576,0,430
대경화성,39789,1124,874,1124,874,0,64
대경화성,39790,1061,1646,1061,1646,0,87
대곶사거리,80008,1606,5830,1600,5830,6,239
대곶사거리,80009,6944,1657,6922,1657,22,277
대기이에스티,39013,147,359,147,359,0,16
대덕강업앞,42759,19,580,19,580,0,19
대동1차후문(종점),40553,417,701,417,701,0,36
대동도어(주),39983,486,13,486,13,0,16
대동도어(주),39984,7,729,7,729,0,23
대동아파트,37042,8684,2476,8684,2476,0,360
대동아파트,37504,4676,7858,4675,7858,1,404
대동아파트,38128,6387,11710,6379,11710,8,583
대동아파트,38345,5105,5450,5096,5450,9,340
대동아파트,39256,291,4822,291,4822,0,164
대동아파트,39473,3615,202,3588,202,27,123
대동아파트,39474,98,7230,88,7230,10,236
대동아파트,40491,625,237,625,237,0,27
대동아파트,40569,8114,3390,8112,3390,2,371
대동아파트,41172,2539,667,2539,667,0,103
대동아파트,42304,2258,4238,2247,4238,11,209
대동아파트,42306,3232,1806,3226,1806,6,162
대동아파트정문앞,40277,1175,985,1172,985,3,69
대동아파트후문,41137,2260,4450,2258,4450,2,216
대동월드,38116,4971,2712,4971,2712,0,247
대동특수철강,39049,103,1015,103,1015,0,36
대룡2리마을회관앞,90026,2,41,2,41,0,1
대룡2리마을회관앞,90027,45,2,44,2,1,1
대룡시장,90020,415,1408,411,1408,4,58
대룡시장,90021,1499,374,1469,374,30,60
대륭맨숀,40242,9816,5994,9816,5994,0,510
대륭맨숀,40247,10425,10948,10425,10948,0,689
대림3차아파트301동앞,38681,436,23,436,23,0,14
대림3차아파트301동앞,38684,30,743,30,743,0,24
대림아파트,37053,10831,4444,10831,4444,0,492
대림아파트,37054,3302,7923,3302,7923,0,362
대림아파트,38257,6133,1459,6133,1459,0,244
대림아파트,40382,3470,11446,3459,11446,11,481
대림아파트,42609,1828,1355,1817,1355,11,102
대림아파트,42610,157,2001,155,2001,2,69
대림아파트후문,40397,2105,1639,2105,1639,0,120
대명아파트,37537,2491,6206,2491,6206,0,280
대명초교,80002,1909,202,1905,202,4,68
대명초교,80003,357,1620,355,1620,2,63
대문리고개입구,43546,472,322,470,322,2,25
대문목재,89206,129,47,129,47,0,5
대문목재,89207,178,19,178,19,0,6
대문촌마을,90058,22,7,21,7,1,0
대문촌마을,90059,11,4,11,4,0,0
대박주유소,36091,2329,2624,2329,2624,0,159
대부고교차로,18388,1,19,1,19,0,0
대부관광호텔,62040,248,64,248,64,0,10
대부도서관,18389,2,18,2,18,0,0
대부도서관,18391,10,24,10,24,0,1
대부동행정복지센터,62011,289,1247,289,1247,0,49
대부동행정복지센터,62012,1366,249,1366,249,0,52
대부중고등학교,62027,298,40,298,40,0,10
대부중고등학교,62028,26,287,26,287,0,10
대부파출소앞,62036,4,85,4,85,0,2
대부파출소앞,62042,113,5,113,5,0,3
대사마을,43947,9,194,9,194,0,6
대사마을,43948,182,13,179,13,3,6
대산-기점,90259,3242,3104,3190,3104,52,204
대상스틸,89007,60,567,59,567,1,20
대성베르힐아파트(가정성당),89240,1445,2961,1445,2961,0,142
대성베르힐아파트(가정성당),89241,6007,2329,6007,2329,0,268
